 # Detector n: 1D Projection
 -0.699999988 -0.199999998  3.14833756E-06  3.31444097
 -0.199999998  0.299999993  3.19040328E-06  2.21548891
  0.299999993  0.799999983  3.31647038E-06  2.29370308
  0.799999983  1.29999997  3.41595523E-06  2.33992028
  1.29999997  1.79999996  3.6109609E-06  2.20845032
  1.79999996  2.29999995  3.678128E-06  4.52905083
  2.29999995  2.79999994  3.83757742E-06  3.97475505
  2.79999994  3.29999994  3.74010983E-06  2.6204412
  3.29999994  3.79999993  3.44861155E-06  1.31380236
  3.79999993  4.29999992  3.18691741E-06  2.2149229
  4.29999992  4.79999991  2.03062677E-06  0.571135223
  4.79999991  5.2999999  2.02766932E-06  0.423166066
  5.2999999  5.79999989  2.00614545E-06  0.37923345
  5.79999989  6.29999988  2.07236303E-06  0.363575041
  6.29999988  6.79999987  3.00204943E-06  3.6298964
  6.79999987  7.29999986  3.58287912E-06  2.81500673
  7.29999986  7.79999985  3.52662505E-06  2.3540976
  7.79999985  8.29999984  3.48963908E-06  2.96176076
  8.29999984  8.79999983  2.73615933E-06  1.13121414
  8.79999983  9.29999982  2.87732223E-06  0.308642149
  9.29999982  9.79999981  3.29351656E-06  0.34572956
  9.79999981  10.2999998  3.75797003E-06  0.317231774
  10.2999998  10.7999998  6.83555209E-06  3.59063888
  10.7999998  11.2999998  7.96360382E-06  1.33426189
  11.2999998  11.7999998  7.91808634E-06  1.56683052
  11.7999998  12.2999998  7.78632966E-06  1.37054467
  12.2999998  12.7999998  7.91674302E-06  1.25651336
  12.7999998  13.2999997  8.45208615E-06  3.00718331
  13.2999997  13.7999997  8.32979276E-06  1.55489397
  13.7999997  14.2999997  8.23829851E-06  1.5536586
  14.2999997  14.7999997  8.59041756E-06  3.35949588
  14.7999997  15.2999997  8.69184259E-06  1.22375882
  15.2999997  15.7999997  8.94021377E-06  1.26671171
  15.7999997  16.2999997  9.00775467E-06  1.249892
  16.2999997  16.7999997  6.81635083E-06  1.80989277
  16.7999997  17.2999997  5.25634186E-06  0.294593364
  17.2999997  17.7999997  4.95242375E-06  0.246681094
  17.7999997  18.2999996  4.82300402E-06  0.248815119
  18.2999996  18.7999996  5.46253341E-06  0.978236675
  18.7999996  19.2999996  7.03297655E-06  2.03450775
  19.2999996  19.7999996  7.26155849E-06  1.81941819
  19.7999996  20.2999996  7.32651642E-06  3.07700062
  20.2999996  20.7999996  5.81437598E-06  0.861196995
  20.7999996  21.2999996  5.1222155E-06  0.239672914
  21.2999996  21.7999996  5.36126663E-06  0.239590228
  21.7999996  22.2999996  5.93759887E-06  0.277545422
  22.2999996  22.7999996  7.80080427E-06  0.940399706
  22.7999996  23.2999996  1.11543068E-05  1.14401853
  23.2999996  23.7999995  1.18919743E-05  1.20337117
  23.7999995  24.2999995  1.24127764E-05  1.06730783
  24.2999995  24.7999995  1.2522235E-05  1.52346838
  24.7999995  25.2999995  1.25878723E-05  1.43374574
  25.2999995  25.7999995  1.27557169E-05  1.44848251
  25.7999995  26.2999995  1.26199257E-05  1.20392919
  26.2999995  26.7999995  1.28425645E-05  2.12059069
  26.7999995  27.2999995  1.26343484E-05  0.814896524
  27.2999995  27.7999995  1.32685173E-05  0.986689866
  27.7999995  28.2999995  1.39169542E-05  2.99928474
  28.2999995  28.7999994  1.20847262E-05  0.660454273
  28.7999994  29.2999994  9.2818027E-06  0.254058033
  29.2999994  29.7999994  8.6746777E-06  0.328058779
  29.7999994  30.2999994  8.21017238E-06  0.193249941
  30.2999994  30.7999994  8.15649582E-06  0.343940526
  30.7999994  31.2999994  1.05620293E-05  1.61143112
  31.2999994  31.7999994  1.09099028E-05  1.1967653
  31.7999994  32.2999994  1.09634939E-05  1.28823805
  32.2999994  32.7999994  9.66654807E-06  1.01492345
  32.7999994  33.2999994  7.55264045E-06  0.200386643
  33.2999994  33.7999994  7.27142651E-06  0.201770946
  33.7999994  34.2999993  7.38116114E-06  0.235213786
  34.2999993  34.7999993  7.6967217E-06  0.312589914
  34.7999993  35.2999993  1.02384856E-05  1.42980623
  35.2999993  35.7999993  1.14282157E-05  1.11160612
  35.7999993  36.2999993  1.20474078E-05  0.864187717
  36.2999993  36.7999993  1.25645884E-05  0.910025954
  36.7999993  37.2999993  1.32231489E-05  2.27861738
  37.2999993  37.7999993  1.32119176E-05  1.43607855
  37.7999993  38.2999993  1.33852209E-05  1.61980259
  38.2999993  38.7999993  1.35269547E-05  1.36314309
  38.7999993  39.2999992  1.31482775E-05  0.855434895
  39.2999992  39.7999992  1.29796363E-05  1.00994444
  39.7999992  39.7999992  1.29796363E-05  1.00994444
